Erreur_détectée	Correction_proposée	Contexte	Fichier
soupconneux	soupçonneux	 vrai, méfions-nous fur-tout du Chevalier , U est soupconneux, & c’est bien le caractère  H îe plus ardent, le 	5781000.xml
îe	e	, U est soupçonneux, & c’est bien le caractère  H îeplus ardent, le plus féroce qui fut jamais* II peu	5781000.xml
eile	exile	élaïde ; fa vile ambition craint de partager avec eilee l’héritage de ses an-, cêtres. Le monstre ! s’il	5781000.xml
cêtres	êtres	int de partager avec exile l’héritage de ses an-, cêtres Le monstre ! s’il peut la perdre, il la per«  dra	5781000.xml
per	mer	-, êtres. Le monstre ! s’il peut la perdre, il la per«  dra ; c’est lui fur-tout que je crains, si mon 	5781000.xml
dra	ra	es. Le monstre ! s’il peut la perdre, il la mer«  dra; c’est lui fur-tout que je crains, si mon projec 	5781000.xml
projec	projet	r«  ra ; c’est lui fur-tout que je crains, si mon projec échouoit, c’est à lui que je m’en prendrois. Que 	5781000.xml
échouoit	échouait	; c’est lui fur-tout que je crains, si mon projet échouoit, c’est à lui que je m’en prendrois. Que j’aurois 	5781000.xml
prendrois	prendrons	, si mon projet échouait, c’est à lui que je m’en prendrois. Que j’aurois de plaisir à l’humilier. Tiens, Dup	5781000.xml
aurois	audois	chouait, c’est à lui que je m’en prendrons. Que j’aurois de plaisir à l’humilier. Tiens, Dupuis, je le hai	5781000.xml
Dupuis	Depuis	ons. Que j’audois de plaisir à l’humilier. Tiens, Dupuis, je le hais, autant que j’aime Adélaïde. DUPUIS, 	5781000.xml
DUPUIS	DEPUIS	, Depuis, je le hais, autant que j’aime Adélaïde. DUPUIS, Il est vrai que vous avez à Vous plaindre dô lui	5781000.xml
dô	do	DEPUIS, Il est vrai que vous avez à Vous plaindre dô lui* II devoit plus d’égards à votre amour ; jet.	5781000.xml
devoit	revoit	est vrai que vous avez à Vous plaindre do lui* II devoit plus d’égards à votre amour ; jet. n’ai jamais vu	5781000.xml
íí	Dalí	our ; jet. n’ai jamais vu tant d’orgueil.   F R A íílí K N È Ri   C’est biôn à lui ! S’il a à s’enorgu	5781000.xml
È	E	. n’ai jamais vu tant d’orgueil.   F R A Dalí K N È Ri   C’est biôn à lui ! S’il a à s’enorgueillir d	5781000.xml
biôn	Bion	 vu tant d’orgueil.   F R A Dalí K N E Ri   C’est biôn à lui ! S’il a à s’enorgueillir de qtiel-- que ch	5781000.xml
qtiel	Tielt	i   C’est Bion à lui ! S’il a à s’enorgueillir de qtiel-- que chose, c’est de tenir pair les liens du san	5781000.xml
á	e	 que chose, c’est de tenir pair les liens du sang á Celle que j’aime ; de voir la beauté, la douceur,	5781000.xml
jé	je	 toutes les grâces réunies dans Adélaïde. Oui  s  jé fuis digne d’elle, mon Coeur me l’affure. Qu’on n	5781000.xml
Coeur	Cœur	 dans Adélaïde. Oui  s  je fuis digne d’elle, mon Coeurme l’affure. Qu’on n’aille pas m’imputer une obscu	5781000.xml
sentimenS	senti Mens	n’aille pas m’imputer une obscure naissance j mes sentimenSs m’élevent assez. Est-ce dans ses ayeux qu’on doi	5781000.xml
élevent	élèvent	’imputer une obscure naissance j mes senti Mens m’élevent assez. Est-ce dans ses ayeux qu’on doit chercher 	5781000.xml
ayeux	aïeux	j mes senti Mens m’élèvent assez. Est-ce dans ses ayeux qu’on doit chercher fa gloire ? Lorqu’on en a etf	5781000.xml
Lorqu	Lorsque	ce dans ses aïeux qu’on doit chercher fa gloire ? Lorquue’on en a etf de vertueux, on doit songer à les i	5781000.xml
etf	etc	x qu’on doit chercher fa gloire ? Lorsque’on en a etf de vertueux, on doit songer à les imiter, à s’en 	5781000.xml
ïendre	tendre	" de vertueux, on doit songer à les imiter, à s’en ïendre dignes, & ne jamais en tirer'vanité. Mais   S ■ """	5781000.xml
tirer'vanité	translittérer	" les imiter, à s’en tendre dignes, & ne jamais en tirer'vanitér. Mais   S ■ ""   a* A D EL A I D E   je voîs Adél"	5781000.xml
voîs	vois	"nslittérer. Mais   S ■ ""   a* A D EL A I D E   je voîs Adélaïde. Laisse moi, & va reconnoîtrd notre nouv"	5781000.xml
reconnoîtrd	reconnaître	D EL A I D E   je vois Adélaïde. Laisse moi, & va reconnoîtrd notre nouveau séjour.  SCENE VII .  ADÉLAÏDE, FRA	5781000.xml
SCENE	SCÈNE	isse moi, & va reconnaître notre nouveau séjour.  SCENE VII .  ADÉLAÏDE, FRANKNER.   ADÉLAÏDE  entrant av	5781000.xml
FRANKNER	SAFRANER	tre notre nouveau séjour.  SCÈNE VII .  ADÉLAÏDE, FRANKNER.   ADÉLAÏDE  entrant avec précipitation .   v o u	5781000.xml
Connoistez	Consistez	? venez-vous pour mettre le comble à ma douleur ? Connoistezvous íi peu mori père pour le braver avec audace ?	5781000.xml
íi	i	ur mettre le comble à ma douleur ? Consistez-vous íipeu mori père pour le braver avec audace ? Fuyez: 	5781000.xml
mori	miro	tre le comble à ma douleur ? Consistez-vous i peu mori père pour le braver avec audace ? Fuyez: l’aspect	5781000.xml
FRANKNER	SAFRANER	sez si vous êtes reconnu, & je péris avec vous,   FRANKNER.   Ah ! vous me. faites frémir, ma chere Adélaïde	5781000.xml
chere	cherre	us,   SAFRANER.   Ah ! vous me. faites frémir, ma cheree Adélaïde  ; mais ce n’est pas fur moi, je ne voi	5781000.xml
ïì	Pas de correction trouvée	 De quoi ne sont-ils pas capables ?   ADÉLAÏDE.   ïì est vrai je n’ai plus d’espoir. Pourquoi Ie$   DE	5781000.xml
Ie	E	DE.   ïì est vrai je n’ai plus d’espoir. Pourquoi Ie   DE MA'RÍENDAL. _  ip:  avez-Vous offensés ? pou	5781000.xml
MA'RÍENDAL	MANDARINALE	 est vrai je n’ai plus d’espoir. Pourquoi E$   DE MA'RÍENDALE. _  ip:  avez-Vous offensés ? pourquoi ai-je par	5781000.xml
ip	IP	i plus d’espoir. Pourquoi E$   DE MANDARINALE. _  ip:  avez-Vous offensés ? pourquoi ai-je partagé vot	5781000.xml
FRANKNER	SAFRANER	 a fait tout entreprendre , vous m’avez perdus.   FRANKNER.   Pourquoi le Ciel vous fit—il naître d’un père 	5781000.xml
traice	traie	e ? II brave mon amour, me refuse votre main , me traiceavec fierté, avec mépris ; je vous aime , je vous 	5781000.xml
peutil	peut il	ssez dans les bras d’un autre… Un amant désespéré peutill écouter la raison ? Je vous traîne malgré vous a	5781000.xml
sermens	serments	je vous y jure tout ce que je sens, je reçois vos sermenss , un lien solemnel nous unit ; & lorsque je croi	5781000.xml
solemnel	solennel	 ce que je sens, je reçois vos serments , un lien solemnel nous unit ; & lorsque je crois être le plus heure	5781000.xml
coeur	cœur	mes, de nouvelles alarmes viennent troubler votre coeur.. Ah ! je vous le répète, fuyons. Soyez moins cru	5781000.xml
FRANKNER	SAFRANER	, si vous restez ici. ADÉLAÏDE.   J’y resterai.   FRANKNER.   Vous périrez.   A D É L A ï DE,   Sans murmure	5781000.xml
É	E	  J’y resterai.   SAFRANER.   Vous périrez.   A D É L A ï DE,   Sans murmure.   FRANKNER. Vous, verre	5781000.xml
ï	i	resterai.   SAFRANER.   Vous périrez.   A D E L A ï DE,   Sans murmure.   FRANKNER. Vous, verrez desc	5781000.xml
FRANKNER	SAFRANER	Vous périrez.   A D E L A i DE,   Sans murmure.   FRANKNER. Vous, verrez descendre au tombeau une mère ■qui 	5781000.xml
Bij	Bic	 descendre au tombeau une mère ■qui vous adore,   Bij   ADÉLAÏDE. Elle me connoîtra, & cessera de maime	5781000.xml
connoîtra	connaîtra	e mère ■qui vous adore,   Bic   ADÉLAÏDE. Elle me connoîtra, & cessera de maimer.   FRANKNER.   Vous me rédui	5781000.xml
maimer	m’aimer	  Bic   ADÉLAÏDE. Elle me connaîtra, & cessera de maimerr.   FRANKNER.   Vous me réduirez au désespoir ; &	5781000.xml
FRANKNER	SAFRANER	LAÏDE. Elle me connaîtra, & cessera de m’aimer.   FRANKNER.   Vous me réduirez au désespoir ; & savez-vous  	5781000.xml
FRANKNER	SAFRANER	it lui demanderiez - vous compte de mes jours ?   FRANKNER. Et ces jours ne sont-ils pas à moi ?   ADÉLAÏDE.	5781000.xml
rA	ra	Et ces jours ne sont-ils pas à moi ?   ADÉLAÏDE.  rA  vous ? qui les remplissez d’amertume, qui me les	5781000.xml
FRANKNER	SAFRANER	plissez d’amertume, qui me les rendez odieux… .   FRANKNER.   Sont-ils plus à. votre père ? vous apartiennen	5781000.xml
apartiennentils	partitionnements	   SAFRANER.   Sont-ils plus à. votre père ? vous apartiennentilss à vous-même ? ne les devez-vous pas au malheureu	5781000.xml
gmour	gour	e l’amour que j’ai pour toi. Ne crois pas que cet gmourme fasse rien entreprendre. II fera éternel  De ma	5781000.xml
mariendal	mandarinale	r me fasse rien entreprendre. II fera éternel  De mariendalle.  if  tomme Te.lien qui nous unit, mais je n’ir	5781000.xml
FRANKNER	SAFRANER	"e-"" rai pas mon père par une nouvelle offense,.   FRANKNER-  désespéré . Et le moment fatal approche.   ADÊL"	5781000.xml
ADÊLA	ADULA	ANER-  désespéré . Et le moment fatal approche.   ADÊLA ï D E  froidement . Avant qu’il, .arrive ,. je ne	5781000.xml
ï	i	 désespéré . Et le moment fatal approche.   ADULA ï D E  froidement . Avant qu’il, .arrive ,. je ne s	5781000.xml
vòus	vus	ajouter à notre malheur ? Voyez tous les maux que vòusme préparez, Fabyme affreux où votre obstination n	5781000.xml
Fabyme	Abyme	alheur ? Voyez tous les maux que vus me préparez, Fabymeaffreux où votre obstination nous jette. Ma chere 	5781000.xml
chere	cherre	Abyme affreux où votre obstination nous jette. Ma cheree Adélaïde, consentez.à mes voeux, fuyez entre les	5781000.xml
voeux	vœux	n nous jette. Ma cherre Adélaïde, consentez.à mes voeux fuyez entre les.bras.de votre époux ; si vous me 	5781000.xml
FRANKNER	SAFRANER	n coûtera du. sang,   ADÉLAÏDE. VOUS oseriez.,.   FRANKNER.  :  Oui, Si je'le jure. Si votre père attentoît 	5781000.xml
je'le	Jelena	ADÉLAÏDE. VOUS oseriez.,.   SAFRANER.  :  Oui, Si je'lea jure. Si votre père attentoît à vos jours, à vot	5781000.xml
attentoît	attentat	 SAFRANER.  :  Oui, Si Jelena jure. Si votre père attentoîtà vos jours, à votre liberté,.'.. il seroit perdu 	5781000.xml
seroit	seront	ère attentat à vos jours, à votre liberté,.'.. il seroit perdu ; ADÉLAÏDE » Eh bien l’on va vous prévenir 	5781000.xml
jetter	jeter	ÏDE » Eh bien l’on va vous prévenir : je cours me jetterà ses pieds , lui avouer ma faute, lui demander la	5781000.xml
êtess	êtes	lui demander la mort, je lui apprendrai qui vous  êtess quels sont vos espérances’,-vos projets.   FRANKN	5781000.xml
FRANKNER	SAFRANER	 êtes  quels sont vos espérances’,-vos projets.   FRANKNER. Je cours m’y jetter avec vous ; ce sera moi qut 	5781000.xml
jetter	jeter	spérances’,-vos projets.   SAFRANER. Je cours m’y jetteravec vous ; ce sera moi qut   B iij   ai ADÉLAÏDE 	5781000.xml
qut	sut	RANER. Je cours m’y jeter avec vous ; ce sera moi qut   B iij   ai ADÉLAÏDE   lui en ferai le récit. Je	5781000.xml
iij	Meiji	e cours m’y jeter avec vous ; ce sera moi sut   B iijji   ai ADÉLAÏDE   lui en ferai le récit. Je lui p	5781000.xml
affez	gaffez	 ; comme vous, je lui demanderai la mort ; il est affezz barbare pour me la.   refuser.   ADÉLAÏDE.   Cru	5781000.xml
arraehes	arraches	pour me la.   refuser.   ADÉLAÏDE.   Cruel ! tu m’arraehes le coeur. Ah ! Frankner ! songez à tous les maux 	5781000.xml
coeur	cœur	  refuser.   ADÉLAÏDE.   Cruel ! tu m’arraches le coeur Ah ! Frankner ! songez à tous les maux que vous m	5781000.xml
Frankner	Safraner	  ADÉLAÏDE.   Cruel ! tu m’arraches le cœur. Ah ! Frankner ! songez à tous les maux que vous me causez.   FR	5781000.xml
FRANKNER	SAFRANER	er ! songez à tous les maux que vous me causez.   FRANKNER. Un instant peut les réparer.. . .: •   A© É L A 	5781000.xml
É	E	FRANER. Un instant peut les réparer.. . .: •   A© É L A -ï DE. . ; ; ; ;. . Puissiez-vous ne pas vous	5781000.xml
ï	i	 Un instant peut les réparer.. . .: •   A© E L A -ï DE. . ; ; ; ;. . Puissiez-vous ne pas vous flatte	5781000.xml
eri	ire	E. . ; ; ; ;. . Puissiez-vous ne pas vous flatter eri • vain ! Allez ,.. . j’en ai trop dit peut-être,…	5781000.xml
AlîeZ	Allez	! vous me faites frémir. On peut nous surprendre. AlîeZ, vous dis-je  5  ne me donnez pas de nouveaux suj	5781000.xml
pauvoit	pouvait	malheureuse !… Que de dangers !… si ma mort seule pauvoit en être le terme, je n’aurois pas de peine à m’en	5781000.xml
aurois	audois	… si ma mort seule pouvait en être le terme, je n’aurois pas de peine à m’en consoler.  Fin du premier AUe	5781000.xml
AUe	Ave	ois pas de peine à m’en consoler.  Fin du premier AUe*  . De mariendal.  $$  acte ilo SCENE PREMIERE  ;	5781000.xml
mariendal	mandarinale	peine à m’en consoler.  Fin du premier Ave*  . De mariendalle.  $$  acte ilo SCENE PREMIERE  ; LE BARON, LE C	5781000.xml
ilo	il	 Fin du premier Ave*  . De mandarinale.  $$  acte iloSCENE PREMIERE  ; LE BARON, LE CHEVALIER.   L E B 	5781000.xml
SCENE	SCÈNE	n du premier Ave*  . De mandarinale.  $$  acte il SCENE PREMIERE  ; LE BARON, LE CHEVALIER.   L E B A R O	5781000.xml
PREMIERE	PREMIÈRE	remier Ave*  . De mandarinale.  $$  acte il SCÈNE PREMIERE  ; LE BARON, LE CHEVALIER.   L E B A R O N.   ÌYÌ	5781000.xml
ÌYÌLON	Pas de correction trouvée	ÈRE  ; LE BARON, LE CHEVALIER.   L E B A R O N.   ÌYÌLON fils, vos réflexions font justes. Je renonce à vo	5781000.xml
soeur	sœur	ons font justes. Je renonce à votre hymen avec la soeurde Frankner , je sens combien cette alliance seroi	5781000.xml
Frankner	Safraner	 justes. Je renonce à votre hymen avec la sœur de Frankner , je sens combien cette alliance seroit indigné d	5781000.xml
seroit	seront	"sœur de Safraner , je sens combien cette alliance seroit indigné de rioùs. •'   LE CHEVALIER. "" ' L’idée f"	5781000.xml
rioùs	rions	" je sens combien cette alliance seront indigné de rioùs. •'   LE CHEVALIER. "" ' L’idée feule m’en a fait "	5781000.xml
rejetter	rejeter	gré l’état de nos affaires, j’aurai la fermeté de rejettercette fortune. Mais parlons d’Adélaïde, que va-t-e	5781000.xml
uriè	Uri	elle entre dans Un cloître, qu’elle se consacre à-urièretraite, à dés combats éternels ; òu bien que, re	5781000.xml
òu	u	consacre à-Uri retraite, à dés combats éternels ; òubien que, reléguée dans un vieux château, ■elle s’	5781000.xml
ipénibles	pénibles	elle s’occupe pour subsister aux emplois les plus ipénibles: voilà l’alternative qui lui reste. Mais én renon	5781000.xml
én	en	énibles : voilà l’alternative qui lui reste. Mais én renonçant à son nom, à cette noblesse, vois ce, q	5781000.xml
Tattendide	Attende	nonçant à son nom, à cette noblesse, vois ce, qui Tattendide tranquillité, de l’éclat…. - : ::   Biy  $4  ADEL	5781000.xml
Biy	Bic	ui Attende la tranquillité, de l’éclat…. - : ::   Biy  $4  ADELAIDE   LE CHEVALIER  Vìnterrompanti  De 	5781000.xml
ADELAIDE	BADELAIRE	e la tranquillité, de l’éclat…. - : ::   Bic  $4  ADELAIDEE   LE CHEVALIER  Vìnterrompanti  De l’opprobre ! 	5781000.xml
Vìnterrompanti	Ininterrompue	lat…. - : ::   Bic  $4  BADELAIRE   LE CHEVALIER  Vìnterrompanti De l’opprobre !   L E B A R o N. Du bonheur.   LE	5781000.xml
seroit	seront	 LE CHEVALIER.   ; Arrêtez, mon père,… ce bonheur seroit le prix (de notre infamie ! Ah  l  j’aimerois mie	5781000.xml
aimerois	aimerons	nheur seront le prix (de notre infamie ! Ah  l  j’aimerois mieux Yoir » Adélaïde expirer âmes yeux.   LE B A	5781000.xml
Yoir	Soir	 prix (de notre infamie ! Ah  l  j’aimerons mieux Yoir » Adélaïde expirer âmes yeux.   LE B A R O N. Çju	5781000.xml
Çjuel	Jumel	oir » Adélaïde expirer âmes yeux.   LE B A R O N. Çjuel excès de rigueur I   L E CHEVALIER.' O jour fatal	5781000.xml
hymest	hymen	CHEVALIER.' O jour fatal pour nous ! où un second hymestVous unit à la Baronne ? avec quelle foibleíse elj	5781000.xml
foibleíse	faiblesse	second hymen Vous unit à la Baronne ? avec quelle foibleíse elje parle de la paílìon de, sa fille. Ah. ! fi m	5781000.xml
elje	elle	en Vous unit à la Baronne ? avec quelle faiblesse elje parle de la paílìon de, sa fille. Ah. ! fi ma mèr	5781000.xml
paílìon	paillon	 Baronne ? avec quelle faiblesse elle parle de la paílìon de, sa fille. Ah. ! fi ma mère eût vécu & quelle 	5781000.xml
soeur	sœur	h. ! fi ma mère eût vécu & quelle m’eût donné une soeur ; elle auroit été digne du sang qui l’auroit form	5781000.xml
auroit	auront	re eût vécu & quelle m’eût donné une sœur, ; elle auroit été digne du sang qui l’auroit formée. Mais Adé~ 	5781000.xml
auroit	auront	é une sœur, ; elle auront été digne du sang qui l’auroit formée. Mais Adé~ laïde !….elle a mérité mes mépr	5781000.xml
Adé	Dé	uront été digne du sang qui l’auront formée. Mais Adé laïde !….elle a mérité mes mépris, & je sens_qu© 	5781000.xml
laïde	laide	t été digne du sang qui l’auront formée. Mais Dé~ laïde !….elle a mérité mes mépris, & je sens_qu© jna ha	5781000.xml
jna	jan	 laide !….elle a mérité mes mépris, & je sens_qu© jna haine,.,. \.   L E B A R O N.   .Voús m’oíïensez,	5781000.xml
Voús	Vos	 je sens_qu© jan haine,.,. \.   L E B A R O N.   .Voúsm’oíïensez, mon fils….   L E G H E V A L I E R.'  	5781000.xml
oíïensez	offensez	ns_qu© jan haine,.,. \.   L E B A R O N.   .Vos m’oíïensez, mon fils….   L E G H E V A L I E R.'   . ,Mon pè	5781000.xml
connoissez	connaissez	   L E G H E V A L I E R.'   . ,Mon père, vous me connoissez* Rien n’égale   peut-être la fierté démon coeur. 	5781000.xml
coeur	cœur	naissez* Rien n’égale   peut-être la fierté démon coeur II n’est rien que   Je ne sacrifie à l’orgueil’dè	5781000.xml
